Title,Price,nom immobilier,nom quartier,espace en m²,nombre de pièces,nb de chambres,nb salle de bain,Vue_sur_mer,Vue_sur_les_montagnes,Etat,Cheminee,Standing,Chauffage_central,Meuble,Piscine,Cuisine_equipee,Climatisation,Terrasse,Jardin,Annees,Garage
Sousse Jaouhara à Sousse Jaouhara,333000 TND,Immobilier Sousse Jaouhara,Sousse Jaouhara,116 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Nouveau,,Haut standing,Yes,Yes,,Yes,Yes,,,,Yes
Les Berges Du Lac 2 à La Marsa,1450000 TND,Immobilier La Marsa,Les Berges Du Lac 2,275 						m² ,, 4 Chambres , 2 Salles de bains ,Yes,Yes,Bon état,Yes,,Yes,,,Yes,Yes,Yes,,5-10 ans,Yes
Les Berges Du Lac 2 à La Marsa,1450000 TND,Immobilier La Marsa,Les Berges Du Lac 2,275 						m² ,, 4 Chambres , 2 Salles de bains ,Yes,Yes,Bon état,Yes,,Yes,,,Yes,Yes,Yes,,5-10 ans,Yes
Ain Zaghouan Nord à La Marsa,Prix à consulter,Immobilier La Marsa,Ain Zaghouan Nord,109 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Nouveau,,Haut standing,Yes,Yes,,Yes,Yes,Yes,,Moins d'un an,
Sahloul à Sousse Ville,380000 TND,Immobilier Sousse Ville,Sahloul,121 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,,,Nouveau,,Haut standing,Yes,,,Yes,Yes,Yes,,,
La Soukra à La Soukra,Prix à consulter,Immobilier La Soukra,La Soukra,127 						m² , 4 Pièces , 3 Chambres , 3 Salles de bains ,,,Nouveau,,Haut standing,Yes,,,Yes,Yes,Yes,,Moins d'un an,
Sahloul à Sousse Ville,439000 TND,Immobilier Sousse Ville,Sahloul,133 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,,,Nouveau,,Haut standing,Yes,,,Yes,Yes,Yes,Yes,Moins d'un an,Yes
Bou Mhel à Boumhel Bassatine,Prix à consulter,Immobilier Boumhel Bassatine,Bou Mhel,126 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,,,Nouveau,,Haut standing,Yes,,,Yes,Yes,,,,
Bhar Lazreg à La Marsa,348000 TND,Immobilier La Marsa,Bhar Lazreg,104 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,,,Nouveau,,Haut standing,Yes,,,Yes,,,,Moins d'un an,Yes
Aouina à La Marsa,Prix à consulter,Immobilier La Marsa,Aouina,120 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,,,Nouveau,,Haut standing,Yes,,,Yes,Yes,,,,Yes
,,Immobilier neuf Tunisie,Voir l'annonce,Haut standing ,, En cours de construction , Livraison: 						décembre 2024,,,,,,,,,,,,,,
Les Jardins d'El Menzah 1 à Ariana Ville,Prix à consulter,Immobilier Ariana Ville,Les Jardins d'El Menzah 1,105 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Nouveau,,Haut standing,Yes,,,Yes,Yes,,,Moins d'un an,
Cité el Ghazela à Raoued,396000 TND,Immobilier Raoued,Cité el Ghazela,120 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,,,Nouveau,,Haut standing,Yes,,,Yes,Yes,,Yes,,
Gammarth à La Marsa,Prix à consulter,Immobilier La Marsa,Gammarth,186 						m² , 4 Pièces , 3 Chambres , 3 Salles de bains ,Yes,,Nouveau,,Haut standing,Yes,,,Yes,Yes,,Yes,Moins d'un an,Yes
Sousse Jaouhara à Sousse Jaouhara,333000 TND,Immobilier Sousse Jaouhara,Sousse Jaouhara,116 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Nouveau,,Haut standing,Yes,Yes,,Yes,Yes,,,Moins d'un an,Yes
El Kantaoui à Hammam Sousse,548080 TND,Immobilier Hammam Sousse,El Kantaoui,164 						m² , 4 Pièces , 3 Chambres , 2 Salles de bains ,,,Nouveau,,Haut standing,Yes,,Yes,Yes,Yes,Yes,,,Yes
La Soukra à La Soukra,480000 TND,Immobilier La Soukra,La Soukra,122 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,,,Nouveau,,Haut standing,Yes,,,Yes,Yes,Yes,,,Yes
Gammarth à La Marsa,Prix à consulter,Immobilier La Marsa,Gammarth,300 						m² , 5 Pièces , 4 Chambres , 5 Salles de bains ,Yes,,Nouveau,,Haut standing,Yes,,,Yes,Yes,Yes,Yes,Moins d'un an,Yes
El Kantaoui à Hammam Sousse,427808 TND,Immobilier Hammam Sousse,El Kantaoui,120 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,Yes,,Nouveau,,Haut standing,Yes,,,Yes,Yes,Yes,Yes,,Yes
Cité el Ghazela à Raoued,228000 TND,Immobilier Raoued,Cité el Ghazela,69 						m² , 2 Pièces , 1 Chambre , 1 Salle de bain ,,,Nouveau,,Haut standing,Yes,,,Yes,Yes,,Yes,,
Sousse Jaouhara à Sousse Jaouhara,330000 TND,Immobilier Sousse Jaouhara,Sousse Jaouhara,114 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Nouveau,,Haut standing,Yes,,,Yes,Yes,,,Moins d'un an,Yes
La Soukra à La Soukra,281000 TND,Immobilier La Soukra,La Soukra,70 						m² , 2 Pièces , 1 Chambre , 1 Salle de bain ,,,Nouveau,,Haut standing,Yes,,,Yes,Yes,Yes,,,Yes
Cité el Ghazela à Raoued,538000 TND,Immobilier Raoued,Cité el Ghazela,163 						m² , 4 Pièces , 3 Chambres , 3 Salles de bains ,,,Nouveau,,Haut standing,Yes,,,Yes,Yes,,Yes,,
